Name,Language,Genres,Rating,Premiered,Status
Unforgettable,English,"Drama, Crime",7.5,2011-09-20,Ended
Haven,English,"Drama, Crime, Supernatural",8.0,2010-07-09,Ended
Bad Judge,English,"Comedy, Family",7.4,2014-10-02,Ended
A to Z,English,"Comedy, Romance",6.7,2014-10-02,Ended
Parenthood,English,"Drama, Comedy, Family",8.0,2010-03-02,Ended
Defiance,English,"Action, Adventure, Science-Fiction",7.8,2013-04-15,Ended
Falling Skies,English,"Drama, Action, Science-Fiction",7.6,2011-06-19,Ended
Manhattan Love Story,English,"Comedy, Romance",5.4,2014-09-30,Ended
The Biggest Loser,English,,6.0,2004-10-19,Ended
Scandal,English,"Drama, Thriller",7.9,2012-04-05,Ended
America's Next Top Model,English,,5.5,2003-05-20,Ended
Blue Bloods,English,"Drama, Crime",8.1,2010-09-24,Ended
The Good Wife,English,"Drama, Crime, Legal",8.1,2009-09-22,Ended
Boardwalk Empire,English,"Drama, Crime",8.4,2010-09-19,Ended
Law & Order: Special Victims Unit,English,"Drama, Crime, Legal",7.9,1999-09-20,Running
Dominion,English,"Action, Adventure, Fantasy",7.2,2014-06-19,Ended
From Dusk Till Dawn: The Series,English,"Action, Crime, Horror",6.5,2014-03-11,Ended
Justified,English,"Drama, Crime, Western",8.7,2010-03-16,Ended
Bob's Burgers,English,"Comedy, Family",7.9,2011-01-09,Running
Mulaney,English,"Comedy, Family",6.0,2014-10-05,Ended
CSI: Crime Scene Investigation,English,"Drama, Action, Crime",8.1,2000-10-06,Ended
Gracepoint,English,"Drama, Crime, Mystery",7.5,2014-10-02,Ended
Once Upon a Time,English,"Drama, Fantasy, Romance",7.5,2011-10-23,Ended
South Park,English,Comedy,8.3,1997-08-13,Running
Survivor,English,Adventure,7.3,2000-05-31,Running
King of the Hill,English,Comedy,7.6,1997-01-12,Running
The Mentalist,English,"Drama, Crime, Mystery",8.2,2008-09-23,Ended
Star Wars: Rebels,English,"Action, Adventure, Science-Fiction",7.9,2014-09-29,Ended
House,English,"Drama, Mystery, Medical",8.7,2004-11-16,Ended
Transparent,English,"Drama, Comedy",7.3,2014-09-26,Ended
Nikita,English,"Drama, Action, Crime",7.8,2010-09-09,Ended
Lost,English,"Drama, Adventure, Supernatural",8.2,2004-09-22,Ended
2 Broke Girls,English,Comedy,7.3,2011-09-19,Ended
Selfie,English,"Comedy, Romance",7.1,2014-09-30,Ended
Mom,English,"Comedy, Family",7.6,2013-09-23,Ended
The Affair,English,"Drama, Romance",7.7,2014-10-12,Ended
Jane the Virgin,English,"Drama, Crime, Romance",7.4,2014-10-13,Ended
Marry Me,English,Comedy,5.4,2014-10-14,Ended
Two and a Half Men,English,Comedy,6.7,2003-09-22,Ended
About a Boy,English,"Drama, Comedy, Romance",6.6,2014-02-22,Ended
The Millers,English,Comedy,6.2,2013-10-03,Ended
Elementary,English,"Drama, Crime, Mystery",8.3,2012-09-27,Ended
Heroes,English,"Drama, Action, Science-Fiction",7.7,2006-09-25,Ended
The McCarthys,English,"Comedy, Family",6.8,2014-10-30,Ended
Cristela,English,"Comedy, Legal",7.0,2014-10-10,Ended
The Leftovers,English,"Drama, Science-Fiction, Thriller",8.0,2014-06-29,Ended
Girls,English,"Drama, Romance",6.5,2012-04-15,Ended
Looking,English,"Drama, Comedy, Romance",7.3,2014-01-19,Ended
Getting On,English,"Comedy, Medical",7.1,2013-11-24,Ended
Veep,English,Comedy,7.8,2012-04-22,Ended
Silicon Valley,English,Comedy,8.4,2014-04-06,Ended
The Comeback,English,Comedy,6.5,2005-06-05,Ended
House of Lies,English,"Drama, Comedy",7.9,2012-01-08,Ended
Episodes,English,Comedy,7.9,2011-01-09,Ended
Nurse Jackie,English,"Drama, Comedy",7.8,2009-06-08,Ended
Web Therapy,English,Comedy,7.1,2011-07-19,Ended
Masters of Sex,English,"Drama, Romance, History",7.3,2013-09-29,Ended
Shameless,English,"Drama, Comedy, Family",8.5,2011-01-09,Ended
The Newsroom,English,Drama,8.4,2012-06-24,Ended
Ray Donovan,English,"Drama, Action, Crime",8.1,2013-06-30,Ended
Utopia,English,,,2014-09-07,Ended
Sanctuary,English,"Drama, Adventure, Science-Fiction",8.0,2008-10-03,Ended
Beauty & the Beast,English,"Action, Romance, Science-Fiction",7.3,2012-10-11,Ended
Twin Peaks,English,"Crime, Mystery, Supernatural",8.0,1990-04-08,Ended
The Americans,English,"Drama, Espionage",8.5,2013-01-30,Ended
Fringe,English,"Drama, Action, Science-Fiction",8.6,2008-09-09,Ended
State of Affairs,English,"Drama, Thriller",6.5,2014-11-17,Ended
Weeds,English,"Drama, Comedy, Crime",7.9,2005-08-07,Ended
Dexter,English,"Drama, Crime, Mystery",8.4,2006-10-01,Ended
Carnivàle,English,"Drama, Fantasy, Horror",8.0,2003-09-14,Ended
Human Target,English,"Action, Adventure, Crime",8.0,2010-01-17,Ended
Banshee,English,"Drama, Action, Crime",8.6,2013-01-11,Ended
Bionic Woman,English,"Action, Science-Fiction",6.4,2007-09-26,Ended
Battlestar Galactica,English,"Drama, Science-Fiction, War",8.7,2003-12-08,Ended
24,English,"Drama, Action, Thriller",8.2,2001-11-06,Ended
Chuck,English,"Drama, Comedy, Action",8.2,2007-09-24,Ended
Breaking Bad,English,"Drama, Crime, Thriller",9.2,2008-01-20,Ended
Orange Is the New Black,English,"Drama, Comedy, Crime",7.9,2013-07-11,Ended
How I Met Your Mother,English,"Drama, Comedy, Romance",7.9,2005-09-19,Ended
Suits,English,"Drama, Legal",8.1,2011-06-23,Ended
Parks and Recreation,English,Comedy,8.1,2009-04-09,Ended
House of Cards,English,"Drama, Thriller",8.2,2013-02-01,Ended
Teen Wolf,English,"Drama, Romance, Supernatural",8.1,2011-06-05,Ended
Pretty Little Liars,English,"Romance, Thriller, Mystery",7.4,2010-06-08,Ended
The Legend of Korra,English,"Action, Adventure, Fantasy",8.0,2012-04-14,Ended
The Wire,English,"Drama, Crime",8.9,2002-06-02,Ended
Firefly,English,"Drama, Adventure, Science-Fiction",8.9,2002-09-20,Ended
