name,web_pages,domains,country,state-province
"Indian Institute of Technology, Bombay",['http://www.iitb.ac.in/'],['iitb.ac.in'],India,Maharashtra
"Indian Institute of Technology, Delhi","['http://www.iitd.ernet.in/', 'https://home.iitd.ac.in/']","['iitd.ernet.in', 'iitd.ac.in']",India,Delhi
"Indian Institute of Technology, Gandhinagar",['https://iitgn.ac.in/'],['iitgn.ac.in'],India,Gujarat
"Indian Institute of Technology, Guwahati","['http://www.iitg.ernet.in/', 'http://www.iitg.ac.in/']","['iitg.ernet.in', 'iitg.ac.in', 'op.iitg.ac.in', 'rnd.iitg.ac.in']",India,Assam
"Indian Institute of Technology, Hyderabad",['http://www.iith.ac.in/'],['iith.ac.in'],India,Telangana
"Indian Institute of Technology, Kanpur",['http://www.iitk.ac.in/'],['iitk.ac.in'],India,Uttar Pradesh
Indian Institute of Technology (BHU) Varanasi,['https://www.iitbhu.ac.in/'],['iitbhu.ac.in'],India,Uttar Pradesh
"Indian Institute of Technology, Kharagpur","['http://www.iitkgp.ernet.in/', 'http://www.iitkgp.ac.in/']","['iitkgp.ernet.in', 'iitkgp.ac.in']",India,West Bengal
"Indian Institute of Technology, Madras",['http://www.iitm.ac.in/'],['iitm.ac.in'],India,Tamil Nadu
Madras Institute of Technology,['https://www.mitindia.edu/'],['mitindia.edu'],India,Tamil Nadu
"Indian Institute of Technology, Roorkee",['http://www.iitr.ac.in/'],['iitr.ac.in'],India,Uttarakhand
"Indian Institute of Technology, Patna",['http://www.iitp.ac.in/'],['iitp.ac.in'],India,Bihar
"Indian Institute of Technology, Indore",['http://www.iiti.ac.in/'],['iiti.ac.in'],India,Madhya Pradesh
"Indian Institute of Technology, Jodhpur",['http://www.iitj.ac.in/'],['iitj.ac.in'],India,Rajasthan
University of Music and Fine Arts,['http://www.iksvv.com/'],['iksvv.com'],India,
Indian Law Institue,['https://www.ili.ac.in/'],['ili.ac.in'],India,Delhi
Indus University,['http://www.indusuni.ac.in/'],['indusuni.ac.in'],India,
Integral University,['http://www.integraluniversity.ac.in/'],['integraluniversity.ac.in'],India,
Guru Gobind Singh Indraprastha University,['http://www.ipu.ac.in/'],['ipu.ac.in'],India,
Indian School of Business Management and Administration,['http://isbm.org.in/'],['isbm.org.in'],India,
Indian Statistical Institute,['http://www.isical.ac.in/'],['isical.ac.in'],India,
Indian School of Mines (ISM),['http://www.ismdhanbad.ac.in/'],['ismdhanbad.ac.in'],India,
Institute of Technology and Management,['http://www.itmindia.edu/'],['itmindia.edu'],India,
Indian University,['http://www.iur.ac.in/'],['iur.ac.in'],India,
Indian Veterinary Research Institute,['http://www.ivri.nic.in/'],['ivri.nic.in'],India,
Jadavpur University,['http://www.jadavpur.edu/'],['jadavpur.edu'],India,West Bengal
First Global University to teaching Jainism,['http://www.jainuniversity.org/'],['jainuniversity.org'],India,
