name,web_pages,domains,country,state-province
Thiagarajar College of Engineering,['http://www.tce.edu/'],['tce.edu'],India,Tamil Nadu
Potti Sreeramulu Telugu University,['http://www.teluguuniversity.ac.in/'],['teluguuniversity.ac.in'],India,Telangana
Tezpur University,['http://www.tezu.ernet.in/'],['tezu.ernet.in'],India,
The New College,['http://www.thenewcollege.edu.in/'],['thenewcollege.edu.in'],India,Tamil Nadu
Thapar Institute of Engineering and Technology,['http://www.tiet.ac.in/'],['tiet.ac.in'],India,Punjab
Tata Institute of Social Sciences,['http://www.tiss.edu/'],['tiss.edu'],India,
Tilka Manjhi Bhagalpur University,['http://www.tmbu.org/'],['tmbu.org'],India,
Tilak Maharashtra Vidyapeeth,['http://www.tmv.edu.in/'],['tmv.edu.in'],India,
Tamil Nadu Dr. Ambedkar Law University,['http://www.tndalu.org/'],['tndalu.org'],India,Tamil Nadu
Tamil Nadu Dr. M.G.R. Medical University,['http://www.tnmmu.ac.in/'],['tnmmu.ac.in'],India,Tamil Nadu
Avinashilingam Institute for Home Science and Higher Education for Women,['https://avinuty.ac.in/'],['avinuty.ac.in'],India,
Maulana Azad National Institute of Technology Bhopal,['http://www.manit.ac.in/'],['manit.ac.in'],India,Madhya Pradesh
Malaviya National Institute of Technology Jaipur,['http://www.mnit.ac.in/'],['mnit.ac.in'],India,Rajasthan
Tripura University,['http://www.tripurauniv.in/'],['tripurauniv.in'],India,
Takhatmal Shrivallabh Homoeopathic Medical College,['http://www.tshmc.org/'],['tshmc.org'],India,
Tumkur University,['http://www.tumkuruniversity.ac.in/'],['tumkuruniversity.ac.in'],India,
Thiruvalluvar University,['http://www.tvuni.in/'],['tvuni.in'],India,Tamil Nadu
"University of Agricultural Sciences, Bangalore",['http://uasbng.kar.nic.in/'],['uasbng.kar.nic.in'],India,Karnataka
"University of Agricultural Sciences, Dharwad",['http://www.uasd.net/'],['uasd.net'],India,
Uttarakhand Technical University,['http://www.uktech.ac.in/'],['uktech.ac.in'],India,Uttarakhand
University of Media Arts,['http://www.uma.ac.in/'],['uma.ac.in'],India,
University of Calicut,['http://unical.ac.in/'],['unical.ac.in'],India,Kerala
Goa University,['http://www.unigoa.ac.in/'],['unigoa.ac.in'],India,Goa
University of Mysore,['http://www.uni-mysore.ac.in/'],['uni-mysore.ac.in'],India,Karnataka
University of Pune,['http://www.unipune.ernet.in/'],['unipune.ernet.in'],India,Maharashtra
University of Rajasthan,['http://www.uniraj.org/'],['uniraj.org'],India,Rajasthan
Shivaji University,['http://www.unishivaji.ac.in/'],['unishivaji.ac.in'],India,
University of Madras,['http://www.unom.ac.in/'],['unom.ac.in'],India,Tamil Nadu
University of Hyderabad,['http://www.uohyd.ernet.in/'],['uohyd.ernet.in'],India,Telangana
University of Kota,['http://www.uok.ac.in/'],['uok.ac.in'],India,
University of Roorkee,['http://www.uor.org/'],['uor.org'],India,
Uttarakhand Open University,['http://www.uou.ac.in/'],['uou.ac.in'],India,Uttarakhand
Uttar Pradesh Technical University,['http://www.uptu.ac.in/'],['uptu.ac.in'],India,Uttar Pradesh
Utkal University,['http://www.utkaluniv.org/'],['utkaluniv.org'],India,
VBS Purvanchal University,['http://vbspu.ac.in/'],['vbspu.ac.in'],India,
Vinoba Bhave University,['http://www.vbu.co.in/'],['vbu.co.in'],India,
Vidyasagar University,['http://www.vidyasagar.ac.in/'],['vidyasagar.ac.in'],India,
Vignan University,['http://www.vignanuniversity.org/'],['vignanuniversity.org'],India,
Vikram University,['http://www.vikramuniversity.org/'],['vikramuniversity.org'],India,
Vinayaka Mission's Research Foundation-Deemed University,['http://www.vinayakamissions.com/'],['vinayakamissions.com'],India,
Visva-Bharati University,['http://www.visva-bharati.ac.in/'],['visva-bharati.ac.in'],India,
Vellore Institute of Technology,['http://www.vit.ac.in/'],['vit.ac.in'],India,Tamil Nadu
Veer Kunwar Singh University,['http://www.vksu-ara.org/'],['vksu-ara.org'],India,
Vardhaman Mahaveer Open University,['http://www.vmou.ac.in/'],['vmou.ac.in'],India,
Visvesvaraya National Institute of Technology,['http://www.vnitnagpur.ac.in/'],['vnitnagpur.ac.in'],India,Maharashtra
Veer Surendra Sai University of Technology,['http://www.vssut.ac.in/'],['vssut.ac.in'],India,
Visvesvaraya Technological University,['http://www.vtu.ac.in/'],['vtu.ac.in'],India,Karnataka
West Bengal University of Animal and Fishery Sciences,['http://www.wbuafs.nic.in/'],['wbuafs.nic.in'],India,West Bengal
West Bengal University of Technology,['http://www.wbut.net/'],['wbut.net'],India,West Bengal
Yashawantrao Chavan Maharashtra Open University,['http://www.ycmou.com/'],['ycmou.com'],India,
Dr. YS Parmar University of Horticulture and Forestry,['http://www.ysparmaruniversity.org/'],['ysparmaruniversity.org'],India,
Charotar University of Science and Technology,['https://www.charusat.ac.in/'],['charusat.ac.in'],India,
Navrachana University,['https://www.nuv.ac.in/'],['nuv.ac.in'],India,Gujarat
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",['https://www.iiitm.ac.in/'],['iiitm.ac.in'],India,Madhya Pradesh
COER University Roorkee,"['https://coeruniversity.ac.in/', 'https://coer.ac.in/']","['coeruniversity.ac.in', 'coer.ac.in']",India,Uttarakhand
IIT Bhubaneswar,['https://www.iitbbs.ac.in/'],['iitbbs.ac.in'],India,Odisha
SRM University,['https://srmap.edu.in/'],['srmap.edu.in'],India,Andhra Pradesh
KIET Group of Institutions,['https://kiet.edu/'],['kiet.edu'],India,
Ramaiah University of Applied Sciences,['https://msruas.ac.in/'],['msruas.ac.in'],India,
Uttaranchal University,['https://uudoon.in/'],['uumail.in'],India,Uttarakhand
"University College, Thiruvananthapuram",['http://universitycollege.ac.in/'],['universitycollege.ac.in'],India,Kerala
GSFC University,['https://gsfcuni.edu.in/'],['gsfcuniversity.ac.in'],India,
Anurag University,['https://anurag.edu.in/'],['anurag.edu.in'],India,
Bishop Herber College,['https://bhc.edu.in/'],['bhc.edu.in'],India,
Pondicherry University,['https://bicpu.edu.in/'],['bicpu.edu.in'],India,
Panimalar Engineering College,"['https://panimalar.ac.in/', 'https://panimalarengineeringcollegechennai.ac.in/']","['panimalar.ac.in', 'panimalarengineeringcollegechennai.ac.in']",India,Tamil Nadu
Rajalakshmi Engineering College,['https://www.rajalakshmi.org/'],['rajalakshmi.org'],India,Tamil Nadu
Rajagiri School of Engineering and Technology,['https://www.rajagiritech.edu.in/'],['rajagiritech.edu.in'],India,Kerala
St Joseph's College Of Engineering,['https://stjosephs.ac.in/'],['stjosephs.ac.in'],India,Tamil Nadu
St Joseph's Institute Of Technology,['https://www.stjosephstechnology.ac.in/'],['stjosephstechnology.ac.in'],India,Tamil Nadu
Sri Sivasubramaniya Nadar Institutions,['https://www.ssn.edu.in/'],['ssn.edu.in'],India,Tamil Nadu
Saveetha Engineering College,['https://www.saveetha.ac.in/'],['saveetha.ac.in'],India,Tamil Nadu
Sri Venkateswara College of Engineering,['https://www.svce.ac.in/'],['svce.ac.in'],India,Tamil Nadu
Easwari Engineering College,['https://srmeaswari.ac.in/'],['srmeaswari.ac.in'],India,Tamil Nadu
Jeppiar Engineering College,['https://jeppiaarcollege.org/'],['jeppiaarcollege.org'],India,Tamil Nadu
Rajalakshmi Institute of Technology,['https://ritchennai.org/'],['ritchennai.org'],India,Tamil Nadu
Saveetha School of Engineering,['https://saveethaengineering.com/'],['saveethaengineering.com'],India,Tamil Nadu
Saveetha University,['https://www.saveetha.com/'],['saveetha.com'],India,Tamil Nadu
KCG College of Technology,['https://kcgcollege.ac.in/'],['kcgcollege.ac.in'],India,Tamil Nadu
Hindustan Institute of Technology and Science,['https://hindustanuniv.ac.in/'],['hindustanuniv.ac.in'],India,Tamil Nadu
Chennai Institute of Technology,['https://www.citchennai.edu.in/'],['citchennai.edu.in'],India,Tamil Nadu
Sri Sai Ram Engineering College,['https://sairam.edu.in/'],['sairam.edu.in'],India,Tamil Nadu
Loyola-ICAM College of Engineering and Technology,['https://licet.ac.in/'],['licet.ac.in'],India,Tamil Nadu
Sri Sai Ram Institute of Technology,['https://sairamit.edu.in/'],['sairamit.edu.in'],India,Tamil Nadu
RMK Engineering College,['http://www.rmkec.ac.in/'],['rmkec.ac.in'],India,Tamil Nadu
RMK College of Engineering and Technology,['https://rmkcet.ac.in/'],['rmkcet.ac.in'],India,Tamil Nadu
RMD Engineering College,['https://rmd.ac.in/'],['rmd.ac.in'],India,Tamil Nadu
Velammal Engineering College,['https://velammal.edu.in/'],['velammal.edu.in'],India,Tamil Nadu
Velammal Institute of Technology,['https://velammalitech.edu.in/'],['velammalitech.edu.in'],India,Tamil Nadu
Prathyusha Engineering College,['https://prathyusha.edu.in/'],['prathyusha.edu.in'],India,Tamil Nadu
Alpha College of Engineering,['https://alphagroup.edu/'],['alphagroup.edu'],India,Tamil Nadu
SA Engineering College,['https://www.saec.ac.in/'],['saec.ac.in'],India,Tamil Nadu
Sister Nivedita University,['https://snuniv.ac.in/'],['snuniv.ac.in'],India,
JIS University,['https://www.jisuniversity.ac.in/'],['jisuniversity.ac.in'],India,
JIS College of Engineering,['https://www.jiscollege.ac.in/'],['jiscollege.ac.in'],India,
Narula Institute of Technology,['https://www.nit.ac.in/'],['nit.ac.in'],India,
Guru Nanak Institute of Technology,['https://gnit.ac.in/'],['gnit.ac.in'],India,
Guru Nanak Institute of Hotel Management,['https://www.gnihm.ac.in/'],['gnihm.ac.in'],India,
Guru Nanak Institute of Pharmaceutical Science & Technology,['https://www.gnipst.ac.in/'],['gnipst.ac.in'],India,
Guru Nanak Institute of Dental Sciences & Research,['https://www.gnidsr.ac.in/'],['gnidsr.ac.in'],India,
Dr. Sudhir Chandra Sur Institute of Technology & Sports Complex,['https://www.surtech.edu.in/'],['surtech.edu.in'],India,
JIS Institute of Advanced Studies & Research,['https://jisiasr.org/'],['jisiasr.org'],India,
JIS School of Medical Science & Research,['https://jismsr.org/'],['jismsr.org'],India,
JIS Institute of Pharmacy,['https://jisiop.org/'],['jisiop.org'],India,
JIS School of Polytechnic,['https://www.jissp.ac.in/'],['jissp.ac.in'],India,
Greater Kolkata College of Engineering & Management,['https://www.gkcem.ac.in/'],['gkcem.ac.in'],India,
Chandil Polytechnic School,['https://www.chandilpolytechnic.org/'],['chandilpolytechnic.org'],India,
Gola Polytechnic School,['https://golapolytechnic.org/'],['golapolytechnic.org'],India,
Asansol Engineering College,['http://www.aecwb.edu.in/'],['aecwb.edu.in'],India,
Aditya University,['https://aditya.ac.in/'],['aditya.ac.in'],India,
Assam Down Town University,['https://adtu.in/'],['adtu.in'],India,
Kalinga Institute of Industrial Technology (KIIT),['https://kiit.ac.in/'],['kiit.ac.in'],India,
Sharda University,['https://www.sharda.ac.in/'],['sharda.ac.in'],India,
Shri Jagdishprasad Jhabarmal Tibrewala University,['https://jjtu.ac.in/'],['jjtu.ac.in'],India,Rajasthan
Singhania University,['https://singhaniauniversity.ac.in/'],['singhaniauniversity.ac.in'],India,Rajasthan
Manav Rachna University,['https://manavrachna.edu.in/'],['manavrachna.edu.in'],India,Haryana
MIT World Peace University,['https://mitwpu.edu.in/'],['mitwpu.edu.in'],India,Maharashtra
Technique Polytechnic Institute,['https://www.techniqueedu.com/'],['techniqueedu.com'],India,West Bengal
Indian Institute Of Technology–Ropar (IIT–Ropar),['https://www.iitrpr.ac.in/'],['iitrpr.ac.in'],India,Punjab
Kaloji Narayana Rao University of Health Sciences,['https://www.knruhs.telangana.gov.in/'],['knruhs.telangana.gov.in'],India,Telangana
"Mahatma Gandhi University, Nalgonda",['https://mguniversity.ac.in/'],['mguniversity.ac.in'],India,Telangana
Nizam’s Institute of Medical Sciences,['https://www.nims.edu.in/'],['nims.edu.in'],India,Telangana
Palamuru University,['https://palamuruuniversity.ac.in/'],['palamuruuniversity.ac.in'],India,Telangana
Professor Jayashankar Telangana State Agricultural University,['https://pjtau.edu.in/'],['pjtau.edu.in'],India,Telangana
P. V. Narasimha Rao Telangana Veterinary University,['https://tsvu.nic.in/'],['tsvu.nic.in'],India,Telangana
Satavahana University,['https://satavahana.ac.in/'],['satavahana.ac.in'],India,Telangana
Sri Konda Laxman Telangana State Horticultural University,['https://www.skltshu.ac.in/'],['skltshu.ac.in'],India,Telangana
Telangana University,['https://www.telanganauniversity.ac.in/'],['telanganauniversity.ac.in'],India,Telangana
Chitkara University,['https://www.chitkara.edu.in/'],"['chitkara.edu.in', 'chitkarauniversity.edu.in']",India,Himachal Pradesh
St. Joseph's College of Commerce,['https://sjcc.edu.in/'],['sjcc.edu.in'],India,Karnataka
REVA University,['https://reva.edu.in/'],['reva.edu.in'],India,Karnataka
